name_eng,gender,Flights_count,fate,name_latin
Courageous,Male,1,1,Smeliy
Ginger,Male,1,1,Ryzhik
Gypsy,Male,1,1,Tsygan
Dezik,Male,2,0,Dezik
Fox,Female,1,0,Lisa
Siskin,Male,2,0,Chizhik
Little Bear,Male,2,0,Mishka
Scamp,Male,1,1,Neputeviy
Substitute for Missing Bobik,Male,1,1,ZIB
Fox,Female,3,0,Lisa-2
Ginger,Male,2,0,Ryzhik-2
Little Lady,Female,2,1,Damka
Little Bear,Male,1,0,Mishka-2
Button,Female,2,0,Knopka
Zhulba,Female,1,0,Zhulba
Palm,Female,1,0,Palma
Fluffy,Male,1,0,Pushok
Little Whitey,Female,1,1,Belyanka
Spotted,Female,1,1,Pestraya
